imagesize,conv_timex4,cov_timex1,H2dsize,h2dtime_img_transfer,d2htime_corners_transfer
600,0.000926495,0.000837326,1440000,0.00048089,0.001708984
800,0.001167059,0.001538992,2560000,0.0007689,0.002814054
1000,0.001549721,0.002409697,4000000,0.001130342,0.004321098
1200,0.001918554,0.003388166,5760000,0.001556396,0.004782677
1400,0.002476454,0.004529476,7840000,0.002024174,0.006019831
1600,0.003041506,0.005985975,10240000,0.002561808,0.007029533
1800,0.003629208,0.007550955,12960000,0.003162384,0.007040024
2000,0.004437685,0.009728193,16000000,0.003837824,0.009568691
2200,0.005074501,0.011326074600219727,19360000,0.004633904,0.01038456
2400,0.005986929,0.013456821,23040000,0.005405188,0.012032986
2600,0.006987572,0.015559196472167969,27040000,0.006512165,0.016461134
2800,0.007898808,0.018033504486083984,31360000,0.007271051,0.015537262
3000,0.008852959,0.020632982,36000000,0.008249044,0.016696215
3200,0.010150909,0.023499488830566406,40960000,0.009777546,0.019913197
3400,0.011324883,0.026553154,46240000,0.010601759,0.020524263
3600,0.012793064,0.030346393585205078,51840000,0.012128114700317383,0.024871349
3800,0.013816118,0.033104896545410156,57760000,0.013125181198120117,0.025731802
4000,0.015631914,0.037451744079589844,64000000,0.015036582946777344,0.034314871
4200,0.016823769,0.040482521057128906,70560000,0.015970706939697266,0.031038046
4400,0.016418457,0.038913012,77440000,0.01750946,0.03416276
4600,0.017825603,0.0424757,84640000,0.019554377,0.038466692
4800,0.018077374,0.042782784,92160000,0.020720005,0.04034853
5000,0.018374443,0.041582108,100000000,0.023165225982666016,0.052876711
5200,0.019762278,0.04476881,108160000,0.024876356,0.048570395
5400,0.021447181701660156,0.048473835,116640000,0.026171923,0.05043602
5600,0.023128032684326172,0.051951885,125440000,0.027991533279418945,0.05345726
5800,0.024954081,0.055561543,134560000,0.029943943,0.056156158
6000,0.034137725830078125,0.083143473,144000000,0.032093048095703125,0.060505867
6200,0.032996177673339844,0.079128742,153760000,0.034173489,0.0647223
6400,0.034072876,0.079737186,163840000,0.038120747,0.084619045
6600,0.033281803131103516,0.076172829,174240000,0.03891325,0.072929621
6800,0.034717083,0.076813221,184960000,0.041173458099365234,0.077265739
7000,0.036824465,0.081341267,196000000,0.045088768005371094,0.086877584